segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-02,10,0.133,1,35.0,30.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,8.0,4.0,1.0,0.0,10.0,1.0,0.0,0.0,0.133,0.257,0.133,0.39,2022,75
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-03,4,0.243,1,41.0,37.0,6.0,9.0,1.0,0.0,1.0,13.0,4.0,0.0,0.0,8.0,8.0,3.0,1.0,0.0,12.0,1.0,0.0,0.0,0.243,0.317,0.351,0.668,2022,76
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-05,6,0.161,1,34.0,31.0,1.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,8.0,3.0,0.0,1.0,9.0,1.0,0.0,0.0,0.161,0.235,0.161,0.396,2022,77
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-06,2,0.419,1,48.0,43.0,9.0,18.0,3.0,0.0,1.0,24.0,8.0,2.0,0.0,8.0,9.0,4.0,1.0,0.0,8.0,2.0,0.0,0.0,0.419,0.479,0.558,1.037,2022,78
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-07,5,0.342,1,41.0,38.0,9.0,13.0,5.0,0.0,2.0,24.0,8.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,0.342,0.341,0.632,0.973,2022,79
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-08,1,0.463,1,46.0,41.0,8.0,19.0,3.0,0.0,3.0,31.0,8.0,0.0,0.0,8.0,10.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.463,0.511,0.756,1.267,2022,80
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-09,3,0.308,1,43.0,39.0,10.0,12.0,2.0,0.0,2.0,20.0,10.0,0.0,0.0,8.0,12.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.308,0.333,0.513,0.846,2022,81
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-10,8,0.161,1,35.0,31.0,2.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,8.0,8.0,4.0,0.0,0.0,10.0,1.0,0.0,0.0,0.161,0.257,0.258,0.515,2022,82
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-12,9,0.226,1,34.0,31.0,3.0,7.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,0.226,0.25,0.323,0.573,2022,83
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-14,10,0.133,1,32.0,30.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.133,0.161,0.167,0.328,2022,84
