segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
pre,28,2022,한화,10,2022-06-09,2022-06-23,2022,한화,2022-06-07,8,0.138,1,35.0,29.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,13.0,2.0,6.0,0.0,0.0,9.0,2.0,0.0,0.0,0.138,0.286,0.138,0.424,2022,55
pre,28,2022,한화,10,2022-06-09,2022-06-23,2022,한화,2022-06-08,2,0.306,1,37.0,36.0,5.0,11.0,1.0,0.0,0.0,12.0,5.0,1.0,0.0,8.0,9.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.306,0.324,0.333,0.657,2022,56
pre,29,2023,두산,4,2023-06-18,2023-06-22,2023,두산,2023-06-13,3,0.341,1,47.0,41.0,11.0,14.0,4.0,0.0,3.0,27.0,10.0,2.0,0.0,14.0,8.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.341,0.426,0.659,1.085,2023,54
pre,29,2023,두산,4,2023-06-18,2023-06-22,2023,두산,2023-06-14,3,0.294,1,41.0,34.0,4.0,10.0,2.0,1.0,0.0,14.0,3.0,2.0,1.0,10.0,9.0,7.0,0.0,0.0,5.0,1.0,0.0,0.0,0.294,0.415,0.412,0.827,2023,55
pre,29,2023,두산,4,2023-06-18,2023-06-22,2023,두산,2023-06-15,3,0.303,1,38.0,33.0,3.0,10.0,2.0,0.0,2.0,18.0,3.0,0.0,0.0,10.0,7.0,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.303,0.395,0.545,0.94,2023,56
pre,29,2023,두산,4,2023-06-18,2023-06-22,2023,두산,2023-06-16,7,0.257,1,42.0,35.0,4.0,9.0,3.0,0.0,0.0,12.0,3.0,0.0,0.0,10.0,11.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.257,0.357,0.343,0.7,2023,57
pre,29,2023,두산,4,2023-06-18,2023-06-22,2023,두산,2023-06-17,5,0.257,1,39.0,35.0,7.0,9.0,3.0,0.0,0.0,12.0,6.0,2.0,0.0,10.0,12.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,0.257,0.308,0.343,0.651,2023,58
pre,30,2023,두산,5,2023-07-26,2023-07-30,2023,두산,2023-07-08,8,0.207,1,35.0,29.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,0.0,5.0,13.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,0.207,0.324,0.31,0.634,2023,75
pre,30,2023,두산,5,2023-07-26,2023-07-30,2023,두산,2023-07-09,3,0.368,1,42.0,38.0,9.0,14.0,0.0,1.0,2.0,22.0,9.0,1.0,1.0,11.0,8.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.368,0.429,0.579,1.008,2023,76
pre,30,2023,두산,5,2023-07-26,2023-07-30,2023,두산,2023-07-12,3,0.306,1,41.0,36.0,4.0,11.0,2.0,0.0,1.0,16.0,3.0,2.0,0.0,10.0,8.0,4.0,0.0,1.0,7.0,2.0,1.0,0.0,0.306,0.375,0.444,0.819,2023,77
pre,30,2023,두산,5,2023-07-26,2023-07-30,2023,두산,2023-07-21,10,0.161,1,34.0,31.0,5.0,5.0,2.0,1.0,2.0,15.0,5.0,0.0,1.0,4.0,10.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.161,0.235,0.484,0.719,2023,78
pre,30,2023,두산,5,2023-07-26,2023-07-30,2023,두산,2023-07-25,3,0.29,1,37.0,31.0,8.0,9.0,2.0,1.0,2.0,19.0,7.0,1.0,0.0,5.0,8.0,5.0,0.0,0.0,9.0,1.0,0.0,1.0,0.29,0.378,0.613,0.991,2023,79
pre,31,2023,두산,5,2023-08-12,2023-08-18,2023,두산,2023-08-05,3,0.353,1,37.0,34.0,7.0,12.0,3.0,1.0,1.0,20.0,5.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.353,0.371,0.588,0.959,2023,89
pre,31,2023,두산,5,2023-08-12,2023-08-18,2023,두산,2023-08-06,8,0.182,1,34.0,33.0,1.0,6.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,6.0,12.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.182,0.206,0.242,0.448,2023,90
pre,31,2023,두산,5,2023-08-12,2023-08-18,2023,두산,2023-08-08,2,0.281,1,34.0,32.0,5.0,9.0,1.0,1.0,1.0,15.0,4.0,2.0,0.0,7.0,10.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.281,0.324,0.469,0.793,2023,91
pre,31,2023,두산,5,2023-08-12,2023-08-18,2023,두산,2023-08-09,4,0.29,1,37.0,31.0,4.0,9.0,1.0,0.0,2.0,16.0,4.0,1.0,0.0,11.0,7.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,0.29,0.343,0.516,0.859,2023,92
pre,31,2023,두산,5,2023-08-12,2023-08-18,2023,두산,2023-08-11,6,0.263,1,50.0,38.0,11.0,10.0,2.0,2.0,1.0,19.0,11.0,0.0,0.0,12.0,9.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.263,0.44,0.5,0.94,2023,93
pre,32,2023,롯데,4,2023-06-04,2023-06-08,2023,롯데,2023-05-30,8,0.172,1,32.0,29.0,1.0,5.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,12.0,7.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,0.172,0.194,0.207,0.401,2023,42
pre,32,2023,롯데,4,2023-06-04,2023-06-08,2023,롯데,2023-05-31,3,0.306,1,43.0,36.0,7.0,11.0,0.0,0.0,1.0,14.0,7.0,4.0,0.0,10.0,5.0,6.0,0.0,0.0,9.0,1.0,1.0,0.0,0.306,0.405,0.389,0.794,2023,43
pre,32,2023,롯데,4,2023-06-04,2023-06-08,2023,롯데,2023-06-01,6,0.156,1,33.0,32.0,1.0,5.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,11.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.156,0.182,0.188,0.37,2023,44
pre,32,2023,롯데,4,2023-06-04,2023-06-08,2023,롯데,2023-06-02,1,0.487,1,48.0,39.0,14.0,19.0,4.0,0.0,1.0,26.0,14.0,0.0,0.0,8.0,6.0,8.0,0.0,0.0,5.0,2.0,1.0,0.0,0.487,0.574,0.667,1.241,2023,45
pre,32,2023,롯데,4,2023-06-04,2023-06-08,2023,롯데,2023-06-03,4,0.294,1,42.0,34.0,6.0,10.0,3.0,0.0,0.0,13.0,6.0,2.0,0.0,9.0,7.0,7.0,1.0,0.0,8.0,1.0,0.0,0.0,0.294,0.429,0.382,0.811,2023,46
pre,33,2023,롯데,4,2023-06-14,2023-06-17,2023,롯데,2023-06-08,6,0.255,1,52.0,47.0,6.0,12.0,2.0,1.0,1.0,19.0,6.0,0.0,0.0,16.0,8.0,4.0,0.0,1.0,11.0,1.0,1.0,0.0,0.255,0.314,0.404,0.718,2023,49
pre,33,2023,롯데,4,2023-06-14,2023-06-17,2023,롯데,2023-06-09,2,0.297,1,41.0,37.0,5.0,11.0,1.0,0.0,1.0,15.0,4.0,2.0,0.0,9.0,7.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,0.297,0.35,0.405,0.755,2023,50
pre,33,2023,롯데,4,2023-06-14,2023-06-17,2023,롯데,2023-06-10,2,0.342,1,43.0,38.0,7.0,13.0,2.0,0.0,0.0,15.0,7.0,0.0,0.0,10.0,8.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,0.342,0.381,0.395,0.776,2023,51
pre,33,2023,롯데,4,2023-06-14,2023-06-17,2023,롯데,2023-06-11,5,0.263,1,41.0,38.0,4.0,10.0,1.0,0.0,1.0,14.0,4.0,0.0,0.0,11.0,9.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,0.263,0.275,0.368,0.643,2023,52
pre,33,2023,롯데,4,2023-06-14,2023-06-17,2023,롯데,2023-06-13,1,0.424,1,41.0,33.0,7.0,14.0,1.0,1.0,1.0,20.0,7.0,0.0,2.0,8.0,4.0,5.0,2.0,1.0,8.0,0.0,0.0,1.0,0.424,0.512,0.606,1.118,2023,53
pre,34,2023,롯데,4,2023-07-28,2023-08-01,2023,롯데,2023-07-22,1,0.342,1,46.0,38.0,3.0,13.0,3.0,0.0,1.0,19.0,3.0,1.0,0.0,7.0,12.0,7.0,0.0,0.0,4.0,1.0,1.0,0.0,0.342,0.444,0.5,0.944,2023,77
pre,34,2023,롯데,4,2023-07-28,2023-08-01,2023,롯데,2023-07-23,4,0.189,1,42.0,37.0,6.0,7.0,0.0,0.0,1.0,10.0,6.0,2.0,1.0,11.0,11.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.189,0.286,0.27,0.556,2023,78
pre,34,2023,롯데,4,2023-07-28,2023-08-01,2023,롯데,2023-07-25,4,0.289,1,42.0,38.0,5.0,11.0,3.0,0.0,0.0,14.0,5.0,0.0,0.0,7.0,9.0,2.0,1.0,0.0,11.0,0.0,0.0,1.0,0.289,0.333,0.368,0.701,2023,79
pre,34,2023,롯데,4,2023-07-28,2023-08-01,2023,롯데,2023-07-26,7,0.235,1,41.0,34.0,7.0,8.0,3.0,0.0,0.0,11.0,5.0,1.0,1.0,9.0,10.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.235,0.366,0.324,0.69,2023,80
pre,34,2023,롯데,4,2023-07-28,2023-08-01,2023,롯데,2023-07-27,2,0.364,1,40.0,33.0,9.0,12.0,4.0,0.0,1.0,19.0,9.0,1.0,1.0,10.0,8.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,0.364,0.475,0.576,1.051,2023,81
pre,35,2023,롯데,7,2023-08-18,2023-08-30,2023,롯데,2023-08-12,8,0.25,1,38.0,36.0,5.0,9.0,6.0,0.0,0.0,15.0,5.0,0.0,1.0,10.0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.25,0.289,0.417,0.706,2023,95
pre,35,2023,롯데,7,2023-08-18,2023-08-30,2023,롯데,2023-08-13,5,0.314,1,37.0,35.0,6.0,11.0,2.0,1.0,0.0,15.0,5.0,0.0,1.0,6.0,9.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.314,0.351,0.429,0.78,2023,96
pre,35,2023,롯데,7,2023-08-18,2023-08-30,2023,롯데,2023-08-15,1,0.432,1,45.0,37.0,10.0,16.0,3.0,0.0,1.0,22.0,10.0,0.0,0.0,8.0,10.0,6.0,0.0,0.0,5.0,1.0,0.0,2.0,0.432,0.489,0.595,1.084,2023,97
pre,35,2023,롯데,7,2023-08-18,2023-08-30,2023,롯데,2023-08-16,4,0.25,1,40.0,28.0,7.0,7.0,2.0,0.0,2.0,15.0,7.0,1.0,1.0,8.0,7.0,10.0,2.0,0.0,6.0,1.0,0.0,0.0,0.25,0.475,0.536,1.011,2023,98
pre,35,2023,롯데,7,2023-08-18,2023-08-30,2023,롯데,2023-08-17,1,0.455,1,52.0,44.0,15.0,20.0,6.0,1.0,0.0,28.0,14.0,1.0,0.0,7.0,7.0,7.0,0.0,0.0,10.0,0.0,0.0,1.0,0.455,0.519,0.636,1.155,2023,99
pre,36,2023,삼성,4,2023-06-27,2023-07-01,2023,삼성,2023-06-21,8,0.206,1,35.0,34.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,11.0,9.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.206,0.206,0.235,0.441,2023,62
pre,36,2023,삼성,4,2023-06-27,2023-07-01,2023,삼성,2023-06-22,3,0.297,1,39.0,37.0,1.0,11.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,15.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.297,0.333,0.324,0.657,2023,63
pre,36,2023,삼성,4,2023-06-27,2023-07-01,2023,삼성,2023-06-23,9,0.194,1,34.0,31.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,10.0,11.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.194,0.265,0.226,0.491,2023,64
pre,36,2023,삼성,4,2023-06-27,2023-07-01,2023,삼성,2023-06-24,2,0.417,1,45.0,36.0,10.0,15.0,4.0,0.0,1.0,22.0,9.0,1.0,1.0,11.0,6.0,6.0,1.0,0.0,5.0,2.0,1.0,1.0,0.417,0.5,0.611,1.111,2023,65
pre,36,2023,삼성,4,2023-06-27,2023-07-01,2023,삼성,2023-06-25,4,0.25,1,39.0,32.0,5.0,8.0,2.0,0.0,0.0,10.0,5.0,1.0,0.0,6.0,8.0,5.0,1.0,0.0,7.0,0.0,1.0,0.0,0.25,0.368,0.313,0.681,2023,66
pre,37,2023,삼성,5,2023-06-13,2023-06-17,2023,삼성,2023-06-07,6,0.265,1,36.0,34.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.265,0.306,0.265,0.571,2023,50
pre,37,2023,삼성,5,2023-06-13,2023-06-17,2023,삼성,2023-06-08,3,0.265,1,42.0,34.0,1.0,9.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,8.0,10.0,4.0,3.0,0.0,7.0,1.0,0.0,1.0,0.265,0.381,0.265,0.646,2023,51
pre,37,2023,삼성,5,2023-06-13,2023-06-17,2023,삼성,2023-06-09,6,0.25,1,36.0,32.0,1.0,8.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,9.0,9.0,3.0,0.0,1.0,6.0,1.0,0.0,1.0,0.25,0.306,0.281,0.587,2023,52
pre,37,2023,삼성,5,2023-06-13,2023-06-17,2023,삼성,2023-06-10,1,0.378,1,44.0,37.0,9.0,14.0,2.0,0.0,4.0,28.0,8.0,1.0,1.0,7.0,10.0,4.0,2.0,0.0,5.0,0.0,1.0,0.0,0.378,0.465,0.757,1.222,2023,53
pre,37,2023,삼성,5,2023-06-13,2023-06-17,2023,삼성,2023-06-11,8,0.222,1,40.0,36.0,6.0,8.0,2.0,0.0,1.0,13.0,6.0,0.0,0.0,14.0,7.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.222,0.282,0.361,0.643,2023,54
pre,38,2023,삼성,5,2023-06-20,2023-06-24,2023,삼성,2023-06-14,7,0.188,1,41.0,32.0,2.0,6.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,10.0,10.0,4.0,2.0,0.0,5.0,0.0,3.0,0.0,0.188,0.316,0.25,0.566,2023,56
pre,38,2023,삼성,5,2023-06-20,2023-06-24,2023,삼성,2023-06-15,10,0.194,1,37.0,31.0,3.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,10.0,12.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,0.194,0.306,0.194,0.5,2023,57
pre,38,2023,삼성,5,2023-06-20,2023-06-24,2023,삼성,2023-06-16,10,0.206,1,37.0,34.0,6.0,7.0,2.0,0.0,1.0,12.0,6.0,1.0,0.0,10.0,5.0,2.0,0.0,1.0,12.0,1.0,1.0,0.0,0.206,0.25,0.353,0.603,2023,58
pre,38,2023,삼성,5,2023-06-20,2023-06-24,2023,삼성,2023-06-17,4,0.263,1,42.0,38.0,5.0,10.0,3.0,0.0,0.0,13.0,5.0,1.0,0.0,12.0,11.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.263,0.333,0.342,0.675,2023,59
pre,38,2023,삼성,5,2023-06-20,2023-06-24,2023,삼성,2023-06-18,2,0.378,1,42.0,37.0,7.0,14.0,4.0,1.0,0.0,20.0,7.0,3.0,0.0,7.0,9.0,3.0,0.0,0.0,7.0,1.0,1.0,1.0,0.378,0.415,0.541,0.956,2023,60
pre,39,2023,삼성,5,2023-09-15,2023-09-26,2023,삼성,2023-09-08,1,0.351,1,46.0,37.0,7.0,13.0,1.0,0.0,1.0,17.0,7.0,3.0,0.0,7.0,8.0,5.0,0.0,0.0,7.0,0.0,4.0,0.0,0.351,0.429,0.459,0.888,2023,116
pre,39,2023,삼성,5,2023-09-15,2023-09-26,2023,삼성,2023-09-09,10,0.2,2,74.0,65.0,5.0,13.0,3.0,1.0,1.0,21.0,4.0,3.0,1.0,23.0,15.0,9.0,0.0,0.0,14.0,2.0,0.0,0.0,0.2,0.297,0.323,0.62,2023,117
pre,39,2023,삼성,5,2023-09-15,2023-09-26,2023,삼성,2023-09-10,9,0.189,1,42.0,37.0,2.0,7.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,16.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.189,0.286,0.189,0.475,2023,118
pre,39,2023,삼성,5,2023-09-15,2023-09-26,2023,삼성,2023-09-12,3,0.333,1,39.0,33.0,10.0,11.0,0.0,0.0,3.0,20.0,10.0,4.0,0.0,12.0,5.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.333,0.436,0.606,1.042,2023,119
pre,39,2023,삼성,5,2023-09-15,2023-09-26,2023,삼성,2023-09-14,1,0.387,1,41.0,31.0,10.0,12.0,2.0,0.0,0.0,14.0,10.0,1.0,0.0,4.0,9.0,6.0,0.0,0.0,6.0,0.0,2.0,2.0,0.387,0.462,0.452,0.914,2023,120
pre,40,2023,한화,4,2023-07-29,2023-08-02,2023,한화,2023-07-22,4,0.286,1,42.0,35.0,5.0,10.0,2.0,0.0,1.0,15.0,3.0,0.0,1.0,10.0,8.0,6.0,1.0,1.0,6.0,2.0,0.0,0.0,0.286,0.405,0.429,0.834,2023,78
pre,40,2023,한화,4,2023-07-29,2023-08-02,2023,한화,2023-07-25,1,0.39,1,54.0,41.0,16.0,16.0,2.0,1.0,2.0,26.0,15.0,0.0,0.0,6.0,7.0,10.0,1.0,0.0,12.0,1.0,1.0,1.0,0.39,0.509,0.634,1.143,2023,79
pre,40,2023,한화,4,2023-07-29,2023-08-02,2023,한화,2023-07-26,10,0.135,1,40.0,37.0,5.0,5.0,0.0,0.0,2.0,11.0,5.0,0.0,0.0,8.0,15.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.135,0.2,0.297,0.497,2023,80
pre,40,2023,한화,4,2023-07-29,2023-08-02,2023,한화,2023-07-27,10,0.133,1,31.0,30.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.133,0.161,0.133,0.294,2023,81
pre,40,2023,한화,4,2023-07-29,2023-08-02,2023,한화,2023-07-28,4,0.333,1,40.0,33.0,4.0,11.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,8.0,6.0,4.0,1.0,0.0,8.0,3.0,2.0,0.0,0.333,0.421,0.364,0.785,2023,82
pre,41,2023,한화,4,2023-09-12,2023-09-17,2023,한화,2023-09-06,1,0.409,1,55.0,44.0,6.0,18.0,1.0,0.0,0.0,19.0,6.0,3.0,1.0,5.0,10.0,7.0,2.0,3.0,12.0,1.0,1.0,1.0,0.409,0.5,0.432,0.932,2023,111
pre,41,2023,한화,4,2023-09-12,2023-09-17,2023,한화,2023-09-07,1,0.355,1,39.0,31.0,4.0,11.0,2.0,0.0,0.0,13.0,4.0,0.0,1.0,8.0,7.0,6.0,0.0,2.0,6.0,1.0,1.0,1.0,0.355,0.447,0.419,0.866,2023,112
pre,41,2023,한화,4,2023-09-12,2023-09-17,2023,한화,2023-09-08,10,0.178,1,48.0,45.0,6.0,8.0,3.0,0.0,2.0,17.0,5.0,2.0,0.0,10.0,19.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.178,0.229,0.378,0.607,2023,113
pre,41,2023,한화,4,2023-09-12,2023-09-17,2023,한화,2023-09-09,2,0.315,2,90.0,73.0,14.0,23.0,4.0,2.0,0.0,31.0,12.0,0.0,0.0,20.0,18.0,13.0,3.0,1.0,11.0,2.0,1.0,0.0,0.315,0.438,0.425,0.863,2023,114
pre,41,2023,한화,4,2023-09-12,2023-09-17,2023,한화,2023-09-10,8,0.278,1,45.0,36.0,9.0,10.0,3.0,1.0,2.0,21.0,9.0,0.0,1.0,6.0,14.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,0.278,0.422,0.583,1.005,2023,115
pre,42,2023,한화,5,2023-08-04,2023-08-11,2023,한화,2023-07-29,7,0.229,1,37.0,35.0,3.0,8.0,1.0,1.0,1.0,14.0,3.0,1.0,0.0,8.0,9.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.229,0.27,0.4,0.67,2023,83
pre,42,2023,한화,5,2023-08-04,2023-08-11,2023,한화,2023-07-30,8,0.206,1,40.0,34.0,1.0,7.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,4.0,12.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,0.206,0.325,0.265,0.59,2023,84
